Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.6369,Tue Sep 11 19:07:02 +0000 2018,0.0,0.802,0.198,"🐶🎬 Ladybird and Snowflake were cast to star in the new British romantic comedy, Dusty &amp; Me. 

But what does it take… https://t.co/SvufrDjxDs",84,@BBC
-0.5719,Tue Sep 11 17:59:04 +0000 2018,0.381,0.619,0.0,"The horror of online dating 😂

#Wanderlust 

https://t.co/d6wVsWssKL",85,@BBC
0.0,Tue Sep 11 17:05:07 +0000 2018,0.0,1.0,0.0,"A series following the life of Princess Margaret as she re-defined our image of the modern princess, profiling how… https://t.co/6DHnhGO4hk",86,@BBC
0.34,Tue Sep 11 16:25:09 +0000 2018,0.0,0.833,0.167,RT @bbccomedy: Literally every time I auditioned for the school play.  #UpstartCrow @RealDMitchell https://t.co/pIhDkU2tXT,87,@BBC
0.783,Tue Sep 11 15:58:00 +0000 2018,0.0,0.712,0.288,"🧀Pastry, ham and gouda cheese...😋 

Combine them all to make a breakfast fit for kings in this wonderful centrepiec… https://t.co/oBXEW23R9z",88,@BBC
0.0,Tue Sep 11 14:18:08 +0000 2018,0.0,1.0,0.0,"RT @BBCSpringwatch: The New England colour change is so spectacular it can be seen from space 😲
#TuesdayThoughts #Autumnwatch https://t.co/…",89,@BBC
0.0,Tue Sep 11 13:00:20 +0000 2018,0.0,1.0,0.0,🎾🏔Tennis player @DjokerNole says a five-day hike in the mountains with his wife transformed his season.… https://t.co/HhWQLKLETX,90,@BBC
0.3291,Tue Sep 11 12:00:19 +0000 2018,0.0,0.899,0.101,"It can be expensive and the success rates are still relatively unknown, but lots of women under 35 are having their… https://t.co/zJFMatf5Cu",91,@BBC
0.5267,Tue Sep 11 11:05:05 +0000 2018,0.0,0.673,0.327,"🏡 Would a bigger house make you happier?

https://t.co/ChtZlzE4CQ https://t.co/B4hvdNF1y5",92,@BBC
-0.34,Tue Sep 11 08:50:06 +0000 2018,0.107,0.893,0.0,From Nicki Minaj and Cardi B to Lady Gaga and Madonna - here are 8 of the biggest feuds in pop music 🎶➡️… https://t.co/bWV2ghkB1X,93,@BBC
0.4939,Tue Sep 11 08:02:04 +0000 2018,0.0,0.824,0.176,"Holly helped save someone's life, and changed her own in the process. 
#SavingLivesAtSea via @BBCThree  https://t.co/1Ca63uE4RF",94,@BBC
-0.6771,Tue Sep 11 07:27:05 +0000 2018,0.293,0.707,0.0,"Why were there so many serial killers in the 1980s?
👉 https://t.co/JnQWlHeFvS https://t.co/F02uRnIBIU",95,@BBC
